County,County Code,Year,Year Code,Deaths,Population,Crude Rate,is_suppressed
"Cabell County, WV",54011,2015,2015,13,96000,13.8,False
"Cabell County, WV",54011,2016,2016,15,96960,15.7,False
"Cabell County, WV",54011,2017,2017,17,97920,17.7,False
"Cabell County, WV",54011,2018,2018,20,98880,20.5,False
"Cabell County, WV",54011,2019,2019,23,99840,22.6,False
"Cabell County, WV",54011,2020,2020,25,100800,24.8,False
"Cabell County, WV",54011,2021,2021,31,101760,30.9,False
"Cabell County, WV",54011,2022,2022,36,102720,34.7,False
"Cabell County, WV",54011,2023,2023,41,103680,39.4,False
"Kanawha County, WV",54039,2015,2015,26,187000,14.1,False
"Kanawha County, WV",54039,2016,2016,31,188870,16.2,False
"Kanawha County, WV",54039,2017,2017,36,190740,19.1,False
"Kanawha County, WV",54039,2018,2018,39,192610,20.4,False
"Kanawha County, WV",54039,2019,2019,44,194480,22.8,False
"Kanawha County, WV",54039,2020,2020,50,196350,25.6,False
"Kanawha County, WV",54039,2021,2021,58,198220,29.4,False
"Kanawha County, WV",54039,2022,2022,70,200090,35.2,False
"Kanawha County, WV",54039,2023,2023,83,201960,41.1,False
"Scioto County, OH",39145,2015,2015,11,76000,14.0,False
"Scioto County, OH",39145,2016,2016,12,76760,15.8,False
"Scioto County, OH",39145,2017,2017,14,77520,18.4,False
"Scioto County, OH",39145,2018,2018,14,78280,18.1,False
"Scioto County, OH",39145,2019,2019,18,79040,22.4,False
"Scioto County, OH",39145,2020,2020,21,79800,26.9,False
"Scioto County, OH",39145,2021,2021,25,80560,31.5,False
"Scioto County, OH",39145,2022,2022,28,81320,34.7,False
"Scioto County, OH",39145,2023,2023,33,82080,40.1,False
"Montgomery County, OH",39113,2015,2015,76,531000,14.3,False
"Montgomery County, OH",39113,2016,2016,90,536310,16.8,False
"Montgomery County, OH",39113,2017,2017,90,541620,16.6,False
"Montgomery County, OH",39113,2018,2018,111,546930,20.3,False
"Montgomery County, OH",39113,2019,2019,116,552240,21.0,False
"Montgomery County, OH",39113,2020,2020,131,557550,23.5,False
"Montgomery County, OH",39113,2021,2021,168,562860,29.9,False
"Montgomery County, OH",39113,2022,2022,193,568170,34.0,False
"Montgomery County, OH",39113,2023,2023,233,573480,40.6,False
"Franklin County, OH",39049,2015,2015,160,1260000,12.7,False
"Franklin County, OH",39049,2016,2016,143,1272600,11.3,False
"Franklin County, OH",39049,2017,2017,182,1285200,14.1,False
"Franklin County, OH",39049,2018,2018,165,1297800,12.7,False
"Franklin County, OH",39049,2019,2019,187,1310400,14.3,False
"Franklin County, OH",39049,2020,2020,194,1323000,14.7,False
"Franklin County, OH",39049,2021,2021,210,1335600,15.7,False
"Franklin County, OH",39049,2022,2022,231,1348200,17.1,False
"Franklin County, OH",39049,2023,2023,238,1360800,17.5,False
"Fayette County, KY",21067,2015,2015,40,320000,12.4,False
"Fayette County, KY",21067,2016,2016,43,323200,13.3,False
"Fayette County, KY",21067,2017,2017,45,326400,13.7,False
"Fayette County, KY",21067,2018,2018,43,329600,13.1,False
"Fayette County, KY",21067,2019,2019,45,332800,13.6,False
"Fayette County, KY",21067,2020,2020,49,336000,14.5,False
"Fayette County, KY",21067,2021,2021,55,339200,16.1,False
"Fayette County, KY",21067,2022,2022,55,342400,15.9,False
"Fayette County, KY",21067,2023,2023,67,345600,19.4,False
"Pike County, KY",21195,2015,2015,Suppressed,61000,Suppressed,True
"Pike County, KY",21195,2016,2016,Suppressed,61610,Suppressed,True
"Pike County, KY",21195,2017,2017,12,62220,18.6,False
"Pike County, KY",21195,2018,2018,13,62830,21.3,False
"Pike County, KY",21195,2019,2019,15,63440,23.3,False
"Pike County, KY",21195,2020,2020,17,64050,27.3,False
"Pike County, KY",21195,2021,2021,21,64660,32.1,False
"Pike County, KY",21195,2022,2022,23,65270,34.9,False
"Pike County, KY",21195,2023,2023,25,65880,38.1,False
"Allegheny County, PA",42003,2015,2015,140,1225000,11.4,False
"Allegheny County, PA",42003,2016,2016,169,1237250,13.6,False
"Allegheny County, PA",42003,2017,2017,145,1249500,11.6,False
"Allegheny County, PA",42003,2018,2018,175,1261750,13.8,False
"Allegheny County, PA",42003,2019,2019,187,1274000,14.7,False
"Allegheny County, PA",42003,2020,2020,188,1286250,14.7,False
"Allegheny County, PA",42003,2021,2021,213,1298500,16.4,False
"Allegheny County, PA",42003,2022,2022,221,1310750,16.8,False
"Allegheny County, PA",42003,2023,2023,256,1323000,19.4,False
"Philadelphia County, PA",42101,2015,2015,230,1567000,14.7,False
"Philadelphia County, PA",42101,2016,2016,241,1582670,15.2,False
"Philadelphia County, PA",42101,2017,2017,275,1598340,17.2,False
"Philadelphia County, PA",42101,2018,2018,303,1614010,18.8,False
