State,County,County Code,Year,Total Claims,Opioid Claims,Opioid Prescribing Rate
West Virginia,Cabell County,54011,2015,332828,43778,13.15
West Virginia,Cabell County,54011,2016,283132,39797,14.06
West Virginia,Cabell County,54011,2017,114656,17245,15.04
West Virginia,Cabell County,54011,2018,148547,19637,13.22
West Virginia,Cabell County,54011,2019,287587,32531,11.31
West Virginia,Cabell County,54011,2020,297303,27554,9.27
West Virginia,Cabell County,54011,2021,366602,25783,7.03
West Virginia,Cabell County,54011,2022,118303,6358,5.37
West Virginia,Cabell County,54011,2023,363251,20341,5.6
West Virginia,Kanawha County,54039,2015,188119,25048,13.31
West Virginia,Kanawha County,54039,2016,80339,11230,13.98
West Virginia,Kanawha County,54039,2017,392358,54881,13.99
West Virginia,Kanawha County,54039,2018,364643,47531,13.04
West Virginia,Kanawha County,54039,2019,229115,24333,10.62
West Virginia,Kanawha County,54039,2020,305671,27098,8.87
West Virginia,Kanawha County,54039,2021,81735,6497,7.95
West Virginia,Kanawha County,54039,2022,213781,13813,6.46
West Virginia,Kanawha County,54039,2023,370109,23141,6.25
Ohio,Scioto County,39145,2015,313375,41356,13.2
Ohio,Scioto County,39145,2016,172784,24454,14.15
Ohio,Scioto County,39145,2017,174317,24004,13.77
Ohio,Scioto County,39145,2018,165425,21624,13.07
Ohio,Scioto County,39145,2019,333065,36883,11.07
Ohio,Scioto County,39145,2020,358254,35217,9.83
Ohio,Scioto County,39145,2021,369223,26623,7.21
Ohio,Scioto County,39145,2022,127041,8433,6.64
Ohio,Scioto County,39145,2023,103967,5189,4.99
Ohio,Montgomery County,39113,2015,360427,47397,13.15
Ohio,Montgomery County,39113,2016,346843,51384,14.81
Ohio,Montgomery County,39113,2017,339671,49743,14.64
Ohio,Montgomery County,39113,2018,138138,16954,12.27
Ohio,Montgomery County,39113,2019,367738,42421,11.54
Ohio,Montgomery County,39113,2020,92255,8193,8.88
Ohio,Montgomery County,39113,2021,27805,2245,8.07
Ohio,Montgomery County,39113,2022,335483,24664,7.35
Ohio,Montgomery County,39113,2023,53182,3206,6.03
Ohio,Franklin County,39049,2015,316817,18054,5.7
Ohio,Franklin County,39049,2016,116940,7695,6.58
Ohio,Franklin County,39049,2017,224533,13746,6.12
Ohio,Franklin County,39049,2018,142918,8095,5.66
Ohio,Franklin County,39049,2019,70882,4442,6.27
Ohio,Franklin County,39049,2020,237899,14840,6.24
Ohio,Franklin County,39049,2021,379858,21806,5.74
Ohio,Franklin County,39049,2022,286559,17648,6.16
Ohio,Franklin County,39049,2023,78626,3776,4.8
Kentucky,Fayette County,21067,2015,254317,16818,6.61
Kentucky,Fayette County,21067,2016,293466,19513,6.65
Kentucky,Fayette County,21067,2017,308037,20122,6.53
Kentucky,Fayette County,21067,2018,247035,12949,5.24
Kentucky,Fayette County,21067,2019,336206,17978,5.35
Kentucky,Fayette County,21067,2020,238735,14528,6.09
Kentucky,Fayette County,21067,2021,302242,14585,4.83
Kentucky,Fayette County,21067,2022,263866,13795,5.23
Kentucky,Fayette County,21067,2023,250966,13498,5.38
Kentucky,Pike County,21195,2015,349318,46049,13.18
Kentucky,Pike County,21195,2016,160391,23579,14.7
Kentucky,Pike County,21195,2017,343596,49643,14.45
Kentucky,Pike County,21195,2018,140433,17086,12.17
Kentucky,Pike County,21195,2019,164803,17923,10.88
Kentucky,Pike County,21195,2020,137942,12841,9.31
Kentucky,Pike County,21195,2021,298195,21924,7.35
Kentucky,Pike County,21195,2022,57245,3777,6.6
Kentucky,Pike County,21195,2023,378829,22302,5.89
Pennsylvania,Allegheny County,42003,2015,95113,6393,6.72
Pennsylvania,Allegheny County,42003,2016,228699,14432,6.31
Pennsylvania,Allegheny County,42003,2017,188477,11421,6.06
Pennsylvania,Allegheny County,42003,2018,123440,6974,5.65
Pennsylvania,Allegheny County,42003,2019,235276,13623,5.79
Pennsylvania,Allegheny County,42003,2020,379654,19830,5.22
Pennsylvania,Allegheny County,42003,2021,25240,1524,6.04
Pennsylvania,Allegheny County,42003,2022,214429,12594,5.87
Pennsylvania,Allegheny County,42003,2023,265074,12634,4.77
Pennsylvania,Philadelphia County,42101,2015,219465,29786,13.57
Pennsylvania,Philadelphia County,42101,2016,234687,33827,14.41
Pennsylvania,Philadelphia County,42101,2017,331278,45608,13.77
Pennsylvania,Philadelphia County,42101,2018,130625,16322,12.5
Pennsylvania,Philadelphia County,42101,2019,269616,28529,10.58
Pennsylvania,Philadelphia County,42101,2020,30217,2772,9.17
Pennsylvania,Philadelphia County,42101,2021,226978,15762,6.94
Pennsylvania,Philadelphia County,42101,2022,394679,26177,6.63
Pennsylvania,Philadelphia County,42101,2023,81913,4856,5.93
Massachusetts,Suffolk County,25025,2015,341241,23500,6.89
Massachusetts,Suffolk County,25025,2016,325322,17887,5.5
Massachusetts,Suffolk County,25025,2017,310903,18699,6.01
Massachusetts,Suffolk County,25025,2018,239716,14294,5.96
Massachusetts,Suffolk County,25025,2019,86145,4959,5.76
Massachusetts,Suffolk County,25025,2020,151396,8962,5.92
Massachusetts,Suffolk County,25025,2021,213759,11568,5.41
Massachusetts,Suffolk County,25025,2022,191947,10066,5.24
Massachusetts,Suffolk County,25025,2023,213771,12163,5.69
Massachusetts,Essex County,25009,2015,236021,14932,6.33
Massachusetts,Essex County,25009,2016,147262,10776,7.32
Massachusetts,Essex County,25009,2017,297810,19147,6.43
Massachusetts,Essex County,25009,2018,42307,2395,5.66
Massachusetts,Essex County,25009,2019,355862,22317,6.27
Massachusetts,Essex County,25009,2020,50975,2931,5.75
Massachusetts,Essex County,25009,2021,31268,1786,5.71
Massachusetts,Essex County,25009,2022,144647,7059,4.88
Massachusetts,Essex County,25009,2023,94892,5053,5.33
Florida,Miami-Dade County,12086,2015,140066,9212,6.58
Florida,Miami-Dade County,12086,2016,310682,21026,6.77
Florida,Miami-Dade County,12086,2017,129276,8563,6.62
Florida,Miami-Dade County,12086,2018,208407,11983,5.75
